景点中文名称,景点英文名称,攻略数量,点评数量,景点地点,景点排名,驴友数量,景点简介
李家钰将军陈列室,,18,2,蒲江,409,0%,山间的小溪，潺潺流水，清澈见底。
怀圣亭,,18,2,成都,726,0%,海边的晨光，海浪轻拍，阳光金灿。
混元殿,,18,1,成都,784,0%,秋风的午后，微风送爽，落叶飘飘。
成都熊猫基地密林金丝猴馆,,18,1,成都,755,0%,山间的野餐，享受着自然的馈赠，快乐无比。
罨画旗袍,,18,1,崇州,307,0%,山间的石阶，通往古寺，静谧神圣。
博一外墙,,18,1,成都,996,0%,夜晚的海滩，海浪拍打，潮声阵阵。
五感花园,,18,1,成都,485,0%,秋天的果实，硕果累累，丰收的喜悦。
春熙路,Chunxi Road,17,1761,成都,967,0%,成都最具代表性的商业街，逛逛商场，吃吃小吃，打望美女。
都江堰中华大熊猫苑(原熊猫乐园),Dujiangyan China Giant Panda Garden (formerly known as Panda Paradise),17,415,都江堰,6,0%,有许多萌萌的大熊猫，是一个亲子游的好地方。
四川建川博物馆聚落,Museum Cluster Jianchuan,17,393,大邑,2,0%,国内最大的民间博物馆群，以抗战系列闻名，各展馆建筑风格各异。
中国川菜文化体验馆,China Sichuan Cuisine Culture Museum,17,41,成都,1,0%,秋天的果实，硕果累累，丰收的喜悦。
潘公仲三之墓,,17,15,成都,978,0%,冬季的河流，冰封河面，静谧无声。
转转,,17,15,成都,482,0%,秋天的丰收，果实累累，田野一片金黄色。
戏水湖,,17,15,成都,457,0%,湖边的清晨，水雾弥漫，如梦如幻。
野鸭湖营地,,17,15,成都,562,0%,河流的倒影，如同绘画，美不胜收。
中国西部食用菌博览园,,17,15,成都,993,0%,沙漠的早晨，日出东方，光芒四射。
门柱旋转遗迹,,17,15,都江堰,470,0%,炎热的午后，阵阵凉风，带来丝丝凉意。
阳光乐园,,17,15,成都,932,0%,高山上的日落，晚霞如火，壮丽无比。
西部客家博物馆-源流篇,,17,15,成都,846,0%,秋日的湖边，湖面波光粼粼，风景如画。
武侯皮革城-光明顶会议中心,,17,14,成都,914,0%,晨跑的小道，清新的空气，充满活力。
安靖街道便民服务中心,,17,14,成都,645,0%,雨中的城市，清新而湿润，洗净尘埃。
成都大熊猫基地山丘小熊猫馆,,17,14,成都,546,0%,公园的早晨，晨练的人们，生活的节奏。
黎氏墓业,,17,14,彭州,305,0%,深秋时节，枫叶红了，像是山林间燃起的火焰。
刘慈欣科幻漫画宇宙主题展(成都站),,17,14,成都,817,0%,寒冷的冬日，暖阳透过云层，温暖如春。
听江小学校乡村学校少年宫,,17,14,崇州,304,0%,梦幻的海岛，碧海蓝天，美不胜收。
中国西部国际博览城国际展览展示中心2厅,,17,14,成都,637,0%,春日的樱花，粉嫩花瓣，如云似霞。
桅杆坡,,17,13,彭州,519,0%,晨雾中的古桥，宛如通往另一个世界的门户。
风雨廊桥,,17,13,成都,836,0%,峡谷之中，回声悠长，仿佛在诉说着古老的传说。
建行林,,17,13,都江堰,655,0%,山顶上的草原，风吹草低见牛羊，广阔无垠。
萌宠星球,,17,13,成都,802,0%,潮湿的雨林中，瀑布轰鸣，水汽弥漫。
凤凰山体育公园-五环广场,,17,13,成都,842,0%,海上的日落，天际一片金红，壮丽的景象。
蓝色星球,,17,13,成都,492,0%,炎热的午后，阵阵凉风，带来丝丝凉意。
红军长征纪念馆,Red Army Long Long March Memorial Hall,17,12,邛崃,18,0%,古老的城墙，见证了历史的变迁，依然屹立不倒。
秀水三韵,Xiushui Sanyun Scenic Spot,17,12,邛崃,10,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
四川省图书馆思进·悦读新空间,,17,12,成都,854,0%,河畔的夜晚，月光下的河流，静谧而美丽。
西南民族大学-美术馆,,17,12,成都,819,0%,山脉的轮廓，在日落时分显得格外清晰。
冬季吸烟室,,17,12,大邑,915,0%,绿色的田野上，风吹麦浪，波光粼粼。
青海省成都干休所,,17,12,成都,367,0%,山涧的溪水，清澈见底，泉声叮咚。
珠岛,,17,12,蒲江,730,0%,草丛中的露珠，犹如清晨的眼泪，清新而纯洁。
王宝儿山,,17,12,成都,872,0%,春天的花丛，花香袭人，色彩斑斓。
扬雄墓,Tomb of Yang Xiong,17,11,成都,7,0%,高山的夜晚，繁星点点，宁静致远。
放水大典道解都江堰,,17,11,都江堰,905,0%,花园中的蝴蝶，翩翩起舞，色彩斑斓。
成都第六离职干部休养所,,17,11,成都,414,0%,春天的田野，绿草如茵，花开满野。
和尚崖红军战壕遗址,,17,11,邛崃,825,0%,山间的小溪，潺潺流水，清澈见底。
海盗船,,17,11,邛崃,592,0%,河流的倒影，如同绘画，美不胜收。
新见书山彩虹观景桥,,17,11,成都,527,0%,炊烟袅袅，升起在清晨的乡村，带来家的味道。
3区亲子阅读空间,,17,11,成都,880,0%,湖面的夜色，月光倒映，静谧优美。
成都市新津区工人文化宫职工文化活动中心,,17,11,成都,667,0%,冰川在阳光的照射下闪耀着光芒，宛如世界的尽头。
黑水河省级自然保护区,,17,11,大邑,892,0%,星光灿烂，银河横跨夜空，闪烁着光芒。
妙吉祥艺术院,,17,11,成都,705,0%,河岸的石头，经过水流的冲刷，光滑如镜。
成都理工大学恐龙数字博物馆,,17,10,成都,241,0%,成都理工学院博物馆是一座以地学为主的自然博物馆，至今已有三十多年历史。分设有恐龙、古生物、矿物、岩石、观赏石及宝石宝玉等10个展室，全馆面积2600平方米，馆藏5万余件各类标本藏品，每年接待观众达6万余人次，是中国西部最大的地学类自然博物…
清真寺,,17,10,成都,102,0%,位于成都市鼓楼南街。始建于明洪武八年（1375年），清雍正、乾隆时曾予大修，该寺坐西朝东，原建筑规模甚大，1941年邦克楼及木牌坊等被日机炸毁。现存主要建筑为礼拜殿，长方形，面阔3间，宽16．86米，进深7间，深31．55米，内置金柱二列，周围用双…
飞龙湖,,17,10,成都,848,0%,晨曦的山峦，阳光洒满山间，光影交错。
鸡公树山摩崖造像,,17,10,蒲江,413,0%,山间的瀑布，水珠飞溅，清凉一夏。
武阳茶谷区,,17,10,成都,574,0%,沙漠中的绿洲，生机勃勃，绿意盎然。
夏河溪景区,,17,10,成都,594,0%,山顶的石碑，记录着历史的痕迹，坚固耐久。
极乐福地,,17,10,成都,962,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
天鹅公园,,17,10,成都,524,0%,夜晚的星空，闪烁的星星，璀璨如梦。
江安河,,17,9,成都,586,0%,湿地的候鸟，翱翔于天际，自由自在。
青城山味江陵园(星萝路),,17,9,成都,463,0%,晨曦的山峦，阳光洒满山间，光影交错。
听风,,17,9,崇州,420,0%,海边的晨光，海浪轻拍，阳光金灿。
小上海,,17,9,成都,341,0%,湖泊的早晨，轻雾缭绕，宁静致远。
移花宫,,17,9,成都,967,0%,春天的樱花，如云似霞，满树繁花。
画游千里江山-故宫沉浸艺术展(成都凤凰数字艺术中心),,17,9,成都,356,0%,冬日的雪景，白雪皑皑，银装素裹。
观舍,,17,9,崇州,381,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
林涛石涧,,17,9,成都,440,0%,河畔的春天，绿树成荫，鸟语花香。
井亭,,17,8,成都,665,0%,绿色的田野上，风吹麦浪，波光粼粼。
邻德廊,,17,8,成都,426,0%,春天的田野，绿草如茵，花开满野。
西厢房,,17,8,成都,398,0%,旅途中的随机小镇，充满了本地色彩，别具一格。
化蝶图书馆(新津店),,17,8,成都,929,0%,湖面的夜色，月光倒映，静谧优美。
楠木青年农场纪念地,,17,8,彭州,942,0%,峡谷之中，回声悠长，仿佛在诉说着古老的传说。
龚自珍雕塑,,17,8,成都,653,0%,山川壮丽，江河绵延，自然的伟力展露无遗。
半山秘境,,17,8,彭州,802,0%,雪后山村，银装素裹，一片宁静。
钱币文化社科普及体验区,,17,8,大邑,864,0%,雨后的彩虹，桥接天地，彩色的希望。
省耕楼,,17,8,都江堰,728,0%,山脉的清晨，云雾环绕，如仙境一般。
盐店古城,,17,8,大邑,341,0%,湖边的清晨，水雾弥漫，如梦如幻。
华年寺,,17,8,都江堰,969,0%,古镇的石桥，见证了千年的流转，依旧坚固。
钟楼,,17,8,成都,710,0%,冬季的森林，雪花飘落，银装素裹。
浪漫之门,,17,7,成都,559,0%,秋日的湖边，湖面波光粼粼，风景如画。
楠木林露营地,,17,7,大邑,640,0%,公园的秋日，落叶纷飞，金黄一片。
团结水库,,17,6,金堂,596,0%,雨中的城市，街道湿润，清新的空气。
清清山水露营点,,17,6,都江堰,449,0%,湖泊的早晨，轻雾缭绕，宁静致远。
地窖,,17,6,大邑,636,0%,冬日的雪景，白雪皑皑，银装素裹。
萝波肖像,,17,6,成都,689,0%,冬季的森林，雪花飘落，银装素裹。
天际线房车主题餐厅,,17,6,成都,787,0%,山涧的溪水，清澈见底，泉声叮咚。
中国西部国际博览城14展厅-16展厅,,17,6,成都,350,0%,海边的晨光，海浪轻拍，阳光金灿。
元通寺,,17,6,彭州,837,0%,早晨的阳光穿透雾气，照亮了整个山谷。
中国象棋主题文化公园,,17,5,金堂,517,0%,夜晚的露营地，篝火晚会，温馨而快乐。
凯旋门,,17,5,成都,357,0%,夜晚的星空，闪烁的星星，璀璨如梦。
第一院,,17,5,大邑,744,0%,晨雾中的古桥，宛如通往另一个世界的门户。
飞越四川(春熙路RE:X店),,17,5,成都,628,0%,秋天的森林，五彩缤纷，美不胜收。
王爷庙,,17,5,彭州,929,0%,潮湿的雨林中，瀑布轰鸣，水汽弥漫。
妙泉,,17,5,都江堰,774,0%,湖面的夜色，月光倒映，静谧优美。
万里子桥,Wanlizi Bridge,17,4,成都,30,0%,夜晚的城市，灯火辉煌，如同星辰落入人间。
平安钟,,17,4,成都,510,0%,沙滩上的日落，大海和夕阳同辉，景色迷人。
猎鹰战神夏令营(成都基地),,17,4,成都,654,0%,雨后的彩虹，桥接天地，彩色的希望。
五代前蜀皇帝王建谥宝石雕,,17,4,成都,635,0%,山涧的溪水，清澈见底，泉声叮咚。
成都市青羊区草堂街道办事处草堂路社区少年宫,,17,4,成都,966,0%,秋天的果实，硕果累累，丰收的喜悦。
健身活动室,,17,4,成都,478,0%,湖光山色间的小舟，缓缓行驶，悠闲自得。
三道堰乐水公园游乐场,,17,4,成都,569,0%,冬日的雪景，白雪皑皑，银装素裹。
3D彩绘台阶,,17,4,成都,352,0%,小道蜿蜒，穿过一片片田野，每一步都是风景。
云梯车,,17,3,成都,641,0%,湖面上的划船，轻轻摇曳，平静的水面。
芳华紫藤,,17,3,成都,478,0%,冬季的河流，冰封河面，静谧无声。
桂溪湿地公园东区木立方,,17,3,成都,718,0%,秋高气爽的日子，天高云淡，心旷神怡。
大梁古井,,17,3,邛崃,801,0%,夜晚的城市，灯火辉煌，如同星辰落入人间。
蜀王桥,,17,3,彭州,931,0%,山间的早晨，清新的空气，鸟语花香。
玉河村湿地公园,,17,3,成都,776,0%,河畔的垂柳，轻拂水面，添了几分柔情。
芯谷展示中心,,17,2,成都,886,0%,湖边的清晨，水雾弥漫，如梦如幻。
湾滩,Wantan,17,2,蒲江,328,0%,露珠在花瓣上滚动，晶莹剔透，犹如珍珠。
禅依堂,,17,2,成都,929,0%,湖面的夜色，月光倒映，静谧优美。
新三亚职工之家,,17,2,邛崃,576,0%,沙滩上的脚印，记录着旅人的足迹，故事连连。
非物质文化遗产(贝森兴苑小区店),,17,2,成都,877,0%,沙滩上的晚霞，晚霞映红了整个天空，美轮美奂。
禅师台,,17,2,都江堰,868,0%,秋日的湖边，湖面波光粼粼，风景如画。
五云楼,,17,2,成都,822,0%,梅雨季节的竹林，绿意盎然，雨滴点点。
孝善博物馆,,17,2,金堂,789,0%,高山流水，回荡着清脆的琴声，悠扬入耳。
八角亭,,17,2,成都,376,0%,山顶的日出，晨光破晓，希望的开始。
清水沟,,17,2,成都,973,0%,秋天的森林，五彩缤纷，美不胜收。
非物质文化遗产公园B区,,17,2,成都,497,0%,露营时的星空，无边无际，宁静致远。
洛带古镇-聚龙会馆,,17,1,成都,408,0%,山脉的清晨，云雾环绕，如仙境一般。
三教庵,,17,1,崇州,371,0%,秋风的午后，微风送爽，落叶飘飘。
成都市青白江区大弯街道大弯社区青少年之家,,17,1,成都,724,0%,秋天的果实，硕果累累，丰收的喜悦。
惠里戏台,,17,1,成都,980,0%,晨雾中的古桥，宛如通往另一个世界的门户。
昭觉寺,Zhaojue Temple,16,205,成都,55,0%,与成都动物园相邻，当地著名的古寺庙，有川西“第一禅林”之称。
成都博物馆,Chengdu Museum,16,158,成都,94,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
花水湾第一村温泉,Huashuiwan First Village Hot Spring Hotel,16,158,大邑,13,0%,毗邻西岭雪山的大型温泉。
四川旅游学院-休闲美食文化园,,16,15,成都,438,0%,雨后的山谷，清新脱俗，空气湿润。
刘泽军盆景园,,16,15,成都,640,0%,夜晚的星空，闪烁的星星，璀璨如梦。
KAKASTEAM+科技馆,,16,15,成都,580,0%,公园的秋日，落叶纷飞，金黄一片。
甘御兰铁皮石斛养生旅游基地,,16,15,金堂,493,0%,春日的樱花，粉嫩花瓣，如云似霞。
红军长征浮雕墙,,16,15,邛崃,487,0%,沙漠的日落，天边一抹残阳，如火如血。
寻根问祖,,16,15,都江堰,472,0%,湖边的清晨，水雾弥漫，如梦如幻。
余家垭口,,16,15,都江堰,754,0%,海边的晨光，海浪轻拍，阳光金灿。
四川天府新区万安街道国防双拥微游园,,16,14,成都,644,0%,夏日的草地，绿意盎然，充满活力。
沙河电影院原址地标,,16,14,成都,414,0%,湖边的垂柳，姿态优美，添了几分诗意。
宝藏湖泊区,,16,14,成都,548,0%,沙漠中的日落，壮观而神秘，光影交错。
聚贤堂,,16,14,邛崃,497,0%,海边的日落，余晖洒满海面，金光闪闪。
友爱街道徐家大院老宅,,16,14,成都,333,0%,夜幕下的城市，灯火辉煌，繁星似的街灯。
九九勇士军事夏令营,,16,13,成都,771,0%,湖边的清晨，水雾弥漫，如梦如幻。
特里雕塑,,16,13,成都,478,0%,秋高气爽的山间，风清气朗，心旷神怡。
草堂传统服装社,,16,13,成都,808,0%,春天的花丛，花香袭人，色彩斑斓。
石塔区苏维埃政府旧址,,16,13,邛崃,390,0%,绿色的田野上，风吹麦浪，波光粼粼。
成都新都区木兰山露营山庄,,16,13,成都,743,0%,夏日的河边，垂柳依依，清凉宜人。
麻风顶,,16,13,成都,893,0%,夏日的草地，绿草茵茵，蝴蝶飞舞。
悦宝滑步车,,16,12,大邑,404,0%,潮湿的海滩，细软的沙粒，海浪的歌声。
东苑,,16,12,都江堰,998,0%,农村的晨曦，炊烟袅袅，生活的味道。
绪风坪,,16,12,成都,549,0%,山间的瀑布，水珠飞溅，清凉一夏。
别趣露营小森林露营地,,16,12,成都,480,0%,山川壮丽，江河绵延，自然的伟力展露无遗。
西部国际工业博览中心,,16,11,成都,588,0%,春风拂面，花香四溢，满园春色。
山水龙门,,16,11,彭州,997,0%,秋日的阳光，温暖而柔和，金黄色的光线洒在大地上。
张牛河公园,,16,11,成都,756,0%,海滨城市的夜景，灯火辉煌，如梦如幻。
深业四季华庭公园,,16,11,成都,878,0%,雨后的彩虹，桥接天地，彩色的希望。
弧形草坡,,16,11,成都,400,0%,湖面的晨雾，轻轻飘浮，如梦如幻。
竹里牧茶研学基地,,16,10,崇州,362,0%,夜幕下的城市，灯火辉煌，繁星似的街灯。
社区活动室,,16,10,成都,301,0%,秋高气爽的山间，风清气朗，心旷神怡。
罨画水月,,16,10,成都,834,0%,夜晚的星空，绚烂夺目，无限遐想。
FoxRiver狐河露营(新都店),,16,10,成都,845,0%,森林的小径，幽静而神秘，探索的乐趣。
东林寺,,16,10,成都,836,0%,湖边的清晨，水雾弥漫，如梦如幻。
山门,,16,9,邛崃,12,0%,山门总高50m，由中国书法十大评委之一的何应辉先生题字。从选材上看，山门主要采用天台山本土红砂石条为原料建成，从造型上看，它主体呈现圆柱型，总体气势浩大，古朴大方、耐人寻味。圆柱造型是我国古代“天圆地方”思想的体现，三台结构则象征了…
开元村文化服务中心,,16,9,成都,667,0%,山顶的日出，阳光洒满大地，希望的光芒。
草堂南邻,,16,9,成都,351,0%,秋天的果实，硕果累累，丰收的喜悦。
抗战文物陈列-中流砥柱,,16,9,大邑,733,0%,远山如黛，层峦叠嶂，青绿交织。
戏台,,16,9,大邑,892,0%,晨光中的露水，闪烁着银光，点缀在草尖上。
