景点名称,美食评分,人均消费,地址,推荐菜,评价
老房子青竹花溪民风酒楼·宴会厅,4.1,107,武侯祠大街243号附6号二楼,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",装修颇有浣花溪畔之韵，地道川食一菜一格。
文殊院小吃街,5,104,成都市青羊区文殊院街,"龙抄手	赖汤圆	钟水饺",保存有许多成都传统小吃和老店。这里的美食都有丰富的历史文化渊源，这里不仅是老字号的美食集聚地，也是品牌保护的重点区域。
朋辈餐(南门店),5,43,红牌楼北街30号附12号,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
三哥田螺(北书院街店),4.5,141,北书院街6号,"田螺	炒田螺	脑花	鱼香虾仁	炒黄喉	炒螺肉	鱼香虾尾	烩面	鲜椒美蛙	兔肚	凉面",人气超旺的苍蝇馆子，出品菜肴麻辣鲜香
实惠啤酒鸭(解放路二段店),4.2,88,张家巷19栋附3号、4号,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",成都人心目中串串特别好吃的啤酒鸭店。
味千拉面(成都春熙阳光店),3.7,43,春熙路东段一号阳光百货第三层3A-03,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",饮料推荐荔枝/芒果汁，10元一杯好喝的。如果和朋友去吃，再点个肥牛卷金针菇，不淋酱汁就很好吃
望江宾馆普吉岛餐厅,4,143,锦江区下沙河铺街42号望江宾馆1楼,"没有！	沙拉	甜点	蒜蓉粉丝蒸扇贝	糖醋排骨	三明治	肥肠面	鸡火丝",酸辣粉，手工制作的红薯粉条劲道弹滑，酸辣汤底浓郁，搭配脆爽的花生和葱花，风味独特。
滋味烤鱼店(祥和里店),5,68,成华区祥和里75号(华生园蛋糕房旁),"无！	英雄杯的黑啤	烤鱼	梅子酒	核桃花生奶	功夫牛蛙	滋味排骨	培根薯条	英雄杯黄啤	香辣味的黔鱼	鲜榨石榴汁	啤酒兔	虾饼	牛肉	英雄杯黑啤	烤虾	水果粥	排骨	鱿鱼	干锅	双脆	薯条",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
牛王庙怪味面(十二桥路总店),3.9,15,四川省成都市金牛区十二桥路1号(中国水电十局旁),"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",怪味面的汤汁浓郁，面条麻辣又酸甜。
宫廷糕点铺(建设路店),4.9,24,建设路47号附1-5号,"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",拿破仑大块的吃了很饱可以当早饭了都，价格又很便宜不到20元买一盒好多个回去。人均20出头
全记大排档,3.7,110,青羊区 金阳路(近金沙遗址),"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
曾群串串香,3,70,水碾河南二街46号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",传统串串风味，搭配自制干碟味道超赞
夫妻肺片(武侯祠大街店),4,22,武侯区武侯祠大街36号(蜀地卤吧对面),"拌凉粉	夫妻肺片	牛肉面	酸菜牛肉汤",“大名鼎鼎”的卤味店。夫妻肺片“据说是成都最正宗”的，切得“薄薄”的，吃起来“又麻又辣”，只是“没有传说中的那么神奇”…
小谭豆花(太升南路店),4.3,10,青羊区 大墙西街,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",金针菇肥牛卷，肥牛肉包裹着细长的金针菇，经过涮煮后鲜嫩多汁，蘸上特制酱料，更是美味。
韩包子（春熙路店）,4.2,75,锦江区春熙路北段27、29号4楼,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",韩包子从创业至今已有八十多年的历史了。包子应该是中国最普遍的小吃了，从北到南，从东到西都能见到包子，做出名的也很多，成…
叁无粉蒸(猛追湾店),4.5,28,猛追湾街14号附3附4（链家旁）,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",路边人气小店，吸引了无数美食爱好者
乡村基(温江家乐福店),4.3,20,光华大道三段家乐福内,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",米饭续加、环境卫生都很棒，服务员上菜速度快。
伤心凉粉(黄龙溪店),4.2,15,四川省成都市双流区黄龙溪镇龙太子巷5号（月牙街与镇龙街交叉口南100米）,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",绝对值得去的好地方，童趣、舌尖、成都慢城特点一应俱全，尤其伤心凉粉更是美味至极！
成铁川菜餐厅,5,99,金牛区二环路北三段394号,"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
山城风串串王(建设路总店),4.6,77,建设巷14号建设中路与建设支巷交汇处,"酸汤肥牛, 糖醋里脊, 青椒肉丝, 芝麻鸡, 清炒时蔬",坚持手工炒制醇浓底料，各式串串用料新鲜
绝城芋儿鸡,4.8,30,海椒市莲花东路69号(近九眼桥),"豆皮	现炸小酥肉	干锅茶树菇	泡椒脆肚	山药排骨	蘸酱黄瓜	西红柿蛋汤	香辣中翅	山珍老鸭汤锅	半鸡半爪	藤椒馋嘴蛙	红糖小丸子	熊吃鱼	滋补乌鸡汤锅	芋儿土鸡爪	菌香土鸡汤锅	四星酒寨	脆辣椒牛柳	香辣芋儿鸡中	葡萄啤酒	卤拼	冷吃牛肉	万州烤鱼	干锅肥肠	香辣鱿鱼",味道很鲜美的地道成都川菜
皇城老妈(金沙店),4.6,185,金沙遗址路3号附206号,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",高档火锅品牌，复古的装饰风格，菜品和服务都令人满意。
大蓉和(一品天下店),4.5,135,中环路一品天下大街段277号,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",当地知名的宴饮之所，装修典雅气派。
咔咔豆腐（锦里小吃一条街）,4.5,102,武侯区武侯祠大街231号附1号,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",近年“新修”的美食街，人气指数“爆棚”。商铺都装点得“古香古色”，颇有“古蜀”韵味。“成都名小吃”一字排开，看着都“安…
红杏酒家(锦华店),4.2,91,锦华路一段68号万达广场1号门旁,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",二十余年造就宴饮圣地，经典川菜应有尽有
廖记棒棒鸡(机场店),4.5,63,成都市双流区机场东路成都双流国际机场T1航站楼F2,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
乐山牛华麻辣烫(川大店),4.4,35,武侯区 郭家桥北街玉林串串香旁,"金针菇	虾饺	牛肉	折耳根",藤椒鸡，鸡肉浸泡在特制的藤椒汤中，肉质嫩滑，藤椒的麻香味扑面而来，是夏日解腻的好选择。
蜀中老味道·特色食材餐厅(金阳路店),4.7,63,金阳路77号,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
蜀九香火锅酒楼(九眼桥店),4.7,98,武侯区九眼桥太平南新街8号(近九眼桥十二中),"九香牛肉	鴨舌	青笋片	九宫格锅	莴笋	鱔魚	油碟	千层肚	黄喉	香菜丸子	脑花	毛肚	苕粉	牛肉	锅底	鴛鴦鍋	鳝鱼	山药	鵝腸	乾碟	九香丸子	土豆	锅中锅	酥肉",而且特别香，刚刚捞出来的肉裹着红油，放进香油里降降温，抓紧塞进嘴里，温热的红油香油肉香顿时侵占...
西树工房(群光店),4,10,锦江区春熙路南段8号群光广场B2楼(近中山广场),"香菜脆皮泡芙	卡布奇诺泡芙	芒果泡芙	香草脆皮	香草黑曲奇	原味泡芙	服务差味道差	巧克力泡芙	曲奇泡芙	泡芙	卡普奇诺泡芙	卡布基诺泡芙	抹茶黑曲奇	板栗泡芙	冰激凌泡芙	抹茶泡芙	没喜欢的	香草黑曲奇泡芙	香草酥皮泡芙	宇治抹茶曲奇	香草泡芙	卡布奇诺脆皮	卡布奇黑曲奇	香草脆皮泡芙",孜然羊肉，切片的羊肉搭配浓郁的孜然香气，肉质鲜嫩又多汁，辛香四溢，完美的烧烤经典。
乡村基(天府广场店),4.4,18,总府路87号红旗商场2楼,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",蒜泥白肉，薄薄的肉片蘸满了浓郁的蒜泥酱汁，肥而不腻，搭配青葱和辣油，每一口都刺激着味蕾。
洛带金丝饼,4.1,4,四川省成都市龙泉驿区老街上街125号,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",并且洛带的小吃都很便宜，至少比起其他古镇的小吃便宜了很多很多
锦里结义楼,4.1,70,成都市武侯区武侯祠大街231号(锦里内),"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",武侯祠旁的老茶馆。
成都香格里拉大酒店·蓉咖啡自助餐厅,4.6,252,滨江东路9号香格里拉大酒店一楼(近兰桂坊、廊桥),"甜点	海南鸡饭	海鲜	刺身	寿司	甜品	烤羊排配羊汁	三文鱼	蛋糕	开边蒸大虾	巧克力喷泉	叉烧	叉烧包	冒菜	咖喱	帝王蟹	芝士	自助餐	印度菜	沙拉	芒果慕斯	烤鸭	水果",国际厨师打造环球美食，带来丰富味蕾体验
何蒸肉(东四街店),3.8,41,莲花北路与东四街交叉口旁(近丝绸宾馆),"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",老式路边家常川菜馆
双流机场餐厅,5,97,双流县机场1楼到达厅5号3楼出发厅13号(门旁),"干锅娃娃菜	夫妻肺片	鱼香茄子	干锅鸡杂	巴西烤羊肉	冬瓜连锅汤	清炒时蔬	麻婆豆腐	馋嘴牛蛙	鲍汁扣辽参",很好看！终于辗转到了t1，非常小和老的一个机场……不得不吐槽的是连座位都没有！终于登机啦～好激动
双流传承老妈兔头(玉林总店),4.2,74,倪家桥路12号附11号,"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",招牌麻辣兔头色泽红亮，麻辣爽口
老重庆老火锅,4.4,96,望平街25号香香巷8号,"老北京炸酱面, 香煎鳕鱼, 油泼面, 红烧带鱼, 素炒包菜",味道巴适，环境好适合聚会！
情妹耙泥鳅(科华店),4.4,69,科华北路153号宏地大厦一层,"土豆炖牛肉, 番茄炒蛋, 炒青菜, 芹菜炒肉, 蘑菇炖鸡",主打各类特色干锅，情妹耙泥鳅肉质鲜嫩
查渣面(长顺店),4,22,长顺下街65号附3,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
麦当劳(成都东站店),5,112,成华区保和街道万科路4号成都东站内,"冰淇淋	薯条",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
老夏老火锅(下同仁路店),2.4,104,四川省成都市青羊区下同仁路46号(明德坊酒店旁),"宫保鸡丁, 麻婆豆腐, 水煮牛肉, 葱油饼, 红烧肉",来到店前，感觉整条街的上空都充斥着浓浓的火锅味。忙碌一下午，热情的成都客户来我们去吃地道的火锅
蓉城老妈火锅,4.8,90,近郊 双流县华府大道一段619号,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",烤茄子，茄子的外皮焦脆，内里柔软，刷上一层秘制蒜蓉酱，口感醇厚又不失清香。
星巴克 (王府井店),5,33,锦江区 总府路王府井百货商城1楼,"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",每次来星巴克都是因为里面的环境很好，在里面点杯东西然后坐下来聊天，发呆，或者是是做工作，觉得这...
自贡嫩鱼馆(祥和里店),4.1,69,一环路东三段东门祥和里48号,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",在一个小胡同里，是一家十多年的老店，提供地道的自贡味道。
he’s何师烧烤(太古里店),3.5,75,天仙桥南路与东大街交叉口(东方时代广场),"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",味道棒极了，最好吃的烧烤，招牌菜品超棒，服务热情。
银鲨海鲜百汇自助餐厅(锦华店),5,158,锦江区二环路东五段29号万达购物广场3楼美食街(成仁路口),"扇贝	生鱼片	火龙果汁	羊排	椰汁炖官燕	哈根达斯	海参	螃蟹	印度飞饼	鲷鱼	牛排	刺身	榴莲酥	三文鱼	酥皮汤	叉烧	蜜汁叉烧	白灼虾	水晶虾饺	寿司	鸡尾酒	佛跳墙	大闸蟹	基围虾",...厅声音很好，特别是周末的时候，是要排队，餐厅里的海鲜确实品种很丰富，也很新鲜，爬爬虾和蟹都不错
纯阳馆鱼香排骨面(吉祥街店),4.3,19,吉祥街8号附2号,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",鱼香排骨面肉质绵软，鱼香味很是地道
大蓉和(沙河店),4.7,110,红光路68号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",创立于1999年的老牌酒楼，主营川菜。
71号豆汤饭·成都小吃(青石桥总店),4.6,22,青石桥中街8号(格莱美空间2层),"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",青石桥周边的出名豆汤老店
钟方模白家肥肠粉(春熙路店),3.5,15,春熙路联升巷3号苏宁易购一楼,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",红烧牛肉面鲜美量足，是招牌必点
巴国布衣(紫荆店),4.5,128,神仙树南路63号2楼、3楼（机场路口）,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",新派川菜的知名品牌，满满的巴蜀风情
府河静园,5,78,金牛区上河居对面,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",油泼面，手工拉制的面条上淋满滚烫的油泼辣子，香气扑鼻，简单却让人欲罢不能。
he’s何师烧烤(羊西店),4.3,75,蜀通街艺家生活广场(欧尚对面建行旁),"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",品类丰富，口味出众，再来一次也不会腻！
董记川道拐耗儿鱼(茶店子店),3.5,73,金牛区茶店子横街2号(近二十中),"红糖糍粑	卤笋子	千层毛肚	土豆粉	千层肚	红油耗儿鱼	黄喉	卤鸡爪	凉拌笋子	耗儿鱼	韭菜花生	干锅鱿鱼",“专门吃耗儿鱼”的地方，生意“好到爆”。此鱼“个大肉多”，中间“一根主刺”，吃起来“很方便”，而且肉质“鲜嫩”，“越煮…
乡村基(文殊院店),4.5,20,北大街88号天盛壹中心2楼,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
近閑莊茶坊(佳禾雅筑店),4.7,94,四川省成都市温江区泰康东路81号（佳禾雅筑店）,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",粉蒸肉，五花肉裹满蒸粉后蒸制而成，软糯不腻，入口即化，米粉的香气完美渗入肉中。
打牙祭·成都人的苍蝇馆子(八里小区总店),4.6,54,府青路街道文德路171号宝泰家园门口旁(近八里庄),"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",一家人气苍蝇馆子，川式家常菜，走的是怀旧风，经济实惠。
结子串串香（海椒市）,3.8,30,锦江区 海淑市街15号钢管厂五区内,小郡肝,?在海椒市火了十多年，现在开了好多家分店的名品串串！
品德西餐啤酒屋,4.7,65,青羊区 窄巷子13号,"豆腐鱼, 拍黄瓜, 糖醋里脊, 蒸水蛋, 酱香鸡",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
签百味冷锅串串·小吃(浣花店),4.3,28,一环路西二段2号浣花香商铺2层239-243号（青羊宫对面）,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",美味串串和独特招牌菜，热情老板娘的推荐。
有鱼吃·超下饭的蒜香纸包烤鱼(银石店),4.1,68,红星路三段99号银石广场五楼5006,"腊肉炒饭, 蒜蓉粉丝蒸扇贝, 香煎牛排, 豆芽, 花生米",朋友推荐的餐厅，人很多啊，而且我们是周一去的，要是周末人更多，可以打电话过去排号，服务员会告诉...
飞鸟鱼餐吧,4,83,四川省成都市青羊区百花东路4号4号附53号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",情调十足，百香果汁很棒，服务贴心。
雅唐澳门豆捞(滨江店),3.9,84,锦江区 滨江中路18号附1号,"猪颈肉	鱼片	茼蒿	豌豆尖	鱿鱼	牛肉滑	虾滑	手工面	肥牛	相间肥牛",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
大海湾酒楼(人南店),4.2,103,人民南路三段29号,"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",当地土著爱光顾的粤菜餐厅
王妈热卤·小臻香川味小馆(华阳店),4.2,71,四川省成都市华府大道一段6号121号,"烤土豆, 鱼头豆腐汤, 京酱肉丝, 泡椒鸡爪, 美味炒年糕",推荐广大友友们一值得去的小馆
阿热藏餐(老店),4,105,武侯祠东街3号附1、2号,"香草黑曲奇, 原味泡芙, 巧克力泡芙, 曲奇泡芙, 泡芙",当地规模较大的藏式餐厅，酥油茶咸香可口。
成都西藏饭店·蜀香乘中餐厅,4.5,108,人民北路一段10,"花卷, 烧卖, 煎饺, 扬州炒饭, 家常豆腐",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
老厨子酒楼,4.2,105,致民路54号,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",功底扎实的川菜馆子
成都香格里拉大酒店·香宫,4.5,149,滨江东路9号香格里拉大酒店二，三楼（近太古里，兰桂坊）?,"辣子鸡, 鱼香肉丝, 拔丝地瓜, 辣椒炒肉, 炸鸡排",沉稳气派的粤式餐厅，81种点心任意畅享。
大龙燚火锅(玉林总店),4.6,100,玉林街道二环路南三段9号附3号(玉林生活广场旁),"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",牛油浓香成为品牌标志，所选食材品质颇优
疯狂烤翅(天籁村店),4.5,29,四川省成都市都江堰市通锦路173号(33路公交车通锦路站),"羊肉串, 羊肉泡馍, 北京烤鸭, 蒜蓉生蚝, 香辣蟹",生意却非常的好，有各种的辣味、没有尝试过变态辣，觉得可能受不了，一般都是微辣或者中辣就可以了，...
宜家瑞典食品屋,4,26,武侯区天府立交桥宜家家居收银台对面,"冰激凌	双色甜筒	烤意式肉丸	超级热狗	牛奶味巧克力排	柔和型黄芥末酱	瑞典丸子	烤肠	香草苹果夹心饼干	接骨木汁	黑巧克力	双色冰激凌	黑麦饼干	芥么酱	榛仁牛奶巧克力	热狗套餐	饮料	甜筒冰激凌	肉桂小烤饼	甜筒	小红莓果酱	海鲜卷	圣代	热狗面包",黄焖排骨，排骨炖得软烂入味，浓厚的酱汁包裹着每块肉，是无法抗拒的美味。
